ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude
10000029,JE910891,5/27/2022 3:12,4574X N MAIN ST,0819,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,STREET,FALSE,FALSE,1120,22,35,43,1,223200,2318134,2022,5/27/2022 3:12,41.813421,-87.679976
10000030,JE462479,1/1/2017 22:37,5140X N MAIN ST,0993,THEFT,RETAIL THEFT,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1400,4,25,74,7,224860,2319182,2017,1/1/2017 22:37,41.918216,-87.513981
10000031,JE854377,1/7/2015 21:33,3229X N MAIN ST,0845,BATTERY,AGGRAVATED,OTHER,FALSE,FALSE,2520,22,22,41,22,224215,2318357,2015,1/7/2015 21:33,41.835719,-87.578473
10000032,JE521947,5/15/2018 21:32,4845X N MAIN ST,1235,ROBBERY,STRONGARM - NO WEAPON,OTHER,FALSE,TRUE,1170,22,25,23,20,223877,2319878,2018,5/15/2018 21:32,41.987849,-87.612245
10000033,JE587575,1/2/2015 21:19,7239X N MAIN ST,1005,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE,TRUE,FALSE,1400,16,48,22,22,223374,2318219,2015,1/2/2015 21:19,41.821936,-87.662566
10000034,JE805477,2/5/2022 9:39,5086X N MAIN ST,0560,THEFT,OVER $500,APARTMENT,TRUE,FALSE,470,1,3,32,16,223410,2319799,2022,2/5/2022 9:39,41.979999,-87.658995
10000035,JE853240,2/9/2020 21:26,6292X N MAIN ST,1112,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,470,21,45,1,25,223467,2318785,2020,2/9/2020 21:26,41.878509,-87.653259
10000036,JE152657,9/24/2023 13:27,9133X N MAIN ST,0610,ROBBERY,STRONGARM - NO WEAPON,ALLEY,TRUE,FALSE,410,15,9,60,22,223412,2318464,2023,9/24/2023 13:27,41.846459,-87.658714
10000037,JE970914,7/23/2018 11:48,8977X N MAIN ST,1013,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,FALSE,FALSE,2000,16,29,34,25,224106,2318651,2018,7/23/2018 11:48,41.865197,-87.589395
10000038,JE387936,8/3/2023 15:49,7207X N MAIN ST,0258,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,700,9,22,41,18,225105,2318026,2023,8/3/2023 15:49,41.802655,-87.489404
10000039,JE535020,4/18/2019 23:44,6679X N MAIN ST,0777,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1160,2,14,54,13,223675,2317245,2019,4/18/2019 23:44,41.724598,-87.632451
10000040,JE600149,10/19/2022 10:01,0097X N MAIN ST,0820,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,1090,14,35,70,26,223269,2318862,2022,10/19/2022 10:01,41.886288,-87.673061
10000041,JE452457,6/17/2017 15:17,6625X N MAIN ST,1583,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,1290,5,40,69,1,224003,2318627,2017,6/17/2017 15:17,41.862711,-87.599645
10000042,JE584125,6/8/2022 7:01,2978X N MAIN ST,0202,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,APARTMENT,FALSE,FALSE,930,7,30,42,11,223694,2319052,2022,6/8/2022 7:01,41.905286,-87.630538
10000043,JE593152,6/8/2023 9:53,0318X N MAIN ST,1634,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,TRUE,FALSE,2530,12,15,9,25,224453,2319695,2023,6/8/2023 9:53,41.969526,-87.554607
10000044,JE350132,5/8/2015 9:15,2069X N MAIN ST,1069,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,FALSE,FALSE,1540,7,30,33,25,225086,2318139,2015,5/8/2015 9:15,41.813954,-87.491398
10000045,JE426147,5/22/2023 17:45,1772X N MAIN ST,1285,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,FALSE,TRUE,890,19,44,49,13,225892,2319250,2023,5/22/2023 17:45,41.925049,-87.410754
10000046,JE831059,8/22/2021 4:44,4942X N MAIN ST,1841,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,FALSE,FALSE,2160,4,37,6,12,224625,2318386,2021,8/22/2021 4:44,,-87.537484
10000047,JE962276,10/10/2015 8:32,8032X N MAIN ST,0316,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,FALSE,FALSE,1020,21,30,20,14,223198,2318860,2015,10/10/2015 8:32,41.886072,-87.680148
10000048,JE587455,4/18/2022 18:17,7137X N MAIN ST,1791,THEFT,RETAIL THEFT,APARTMENT,FALSE,FALSE,780,11,16,12,9,223336,2318788,2022,4/18/2022 18:17,41.878832,-87.666354
10000049,JE130094,3/18/2020 9:36,8099X N MAIN ST,1842,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,FALSE,FALSE,1340,7,23,34,11,224175,2317931,2020,3/18/2020 9:36,41.793116,-87.582441
10000050,JE189771,2/5/2018 18:35,3955X N MAIN ST,1574,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1520,25,16,,21,223541,2319277,2018,2/5/2018 18:35,41.927744,-87.645894
10000051,JE421080,3/12/2015 6:05,9529X N MAIN ST,0855,BURGLARY,FORCIBLE ENTRY,RESIDENCE,TRUE,FALSE,1450,12,28,71,11,223379,2318154,2015,3/12/2015 6:05,41.81544,-87.662006
10000052,JE430876,6/9/2018 22:16,1959X N MAIN ST,1621,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,TRUE,FALSE,2050,,12,25,7,224258,2318495,2018,6/9/2018 22:16,41.84956,-87.574188
10000053,JE973074,8/11/2021 18:48,3181X N MAIN ST,0706,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,550,10,1,69,5,225009,2318962,2021,8/11/2021 18:48,41.896297,-87.499086
10000054,JE889359,3/16/2021 16:18,8043X N MAIN ST,0310,BATTERY,AGGRAVATED,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1560,10,31,62,15,223496,2318521,2021,3/16/2021 16:18,41.852141,-87.650387
10000055,JE520172,10/31/2017 21:55,8057X N MAIN ST,0251,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,TRUE,FALSE,1850,2,10,20,26,224483,2318988,2017,10/31/2017 21:55,,-87.551618
10000056,JE913373,10/13/2017 11:07,8562X N MAIN ST,0879,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,FALSE,FALSE,1230,10,38,55,10,222834,2319820,2017,10/13/2017 11:07,41.982052,-87.716515
10000057,JE377501,4/20/2023 21:06,1331X N MAIN ST,0421,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1510,3,11,1,14,224048,2318981,2023,4/20/2023 21:06,41.898139,-87.595155
10000058,JE837135,4/7/2018 18:02,7439X N MAIN ST,0245,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,2460,9,41,76,22,224549,2318962,2018,4/7/2018 18:02,41.896203,-87.54506
10000059,JE966785,4/15/2016 0:34,2331X N MAIN ST,0246,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,FALSE,TRUE,2120,10,39,73,10,222987,2319015,2016,4/15/2016 0:34,41.901546,-87.701235
10000060,JE559023,5/30/2018 0:44,1318X N MAIN ST,1324,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,1200,24,21,,1,222485,2318920,2018,5/30/2018 0:44,41.892087,-87.751485
10000061,JE704238,6/14/2021 18:37,0660X N MAIN ST,1662,THEFT,FROM BUILDING,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1300,17,42,57,9,224358,2317827,2021,6/14/2021 18:37,41.782796,-87.564145
10000062,JE464863,2/13/2022 19:52,6691X N MAIN ST,0782,THEFT,RETAIL THEFT,APARTMENT,FALSE,FALSE,360,6,22,53,23,222571,2318180,2022,2/13/2022 19:52,41.818006,-87.742843
10000063,JE192337,6/29/2019 19:52,5154X N MAIN ST,0616,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,FALSE,FALSE,2580,25,26,66,1,224114,2319551,2019,6/29/2019 19:52,41.95517,-87.588522
10000064,JE755788,8/20/2019 18:03,7243X N MAIN ST,1656,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,FALSE,TRUE,780,18,9,37,15,223847,2318086,2019,8/20/2019 18:03,41.808689,-87.615214
10000065,JE425845,4/29/2015 12:40,9025X N MAIN ST,0128,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,APARTMENT,FALSE,FALSE,330,8,8,60,4,222886,2318069,2015,4/29/2015 12:40,41.806939,-87.711381
10000066,JE975271,1/14/2023 23:18,7906X N MAIN ST,1067,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,1510,5,25,25,20,223462,2319483,2023,1/14/2023 23:18,41.948394,-87.653759
10000067,JE456385,10/13/2015 17:17,8319X N MAIN ST,0647,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,FALSE,FALSE,820,24,20,76,19,225155,2318791,2015,10/13/2015 17:17,41.87914,-87.484447
10000068,JE678727,8/31/2016 16:28,8904X N MAIN ST,0872,ARSON,BY EXPLOSIVE,APARTMENT,FALSE,FALSE,920,7,45,31,19,223667,2317655,2016,8/31/2016 16:28,41.765588,-87.633253
10000069,JE504832,8/10/2019 19:02,2493X N MAIN ST,1114,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,FALSE,FALSE,420,17,38,43,4,224184,2317924,2019,8/10/2019 19:02,41.792429,-87.581553
10000070,JE529893,11/24/2020 22:58,2530X N MAIN ST,0253,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,RESIDENCE,TRUE,FALSE,2580,9,22,51,21,224442,2318681,2020,11/24/2020 22:58,41.868169,-87.555766
10000071,JE757246,7/25/2022 23:54,7995X N MAIN ST,1886,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,1680,3,16,37,8,222187,2318103,2022,7/25/2022 23:54,41.810357,-87.781285
10000072,JE565230,2/8/2016 21:48,2726X N MAIN ST,1521,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,FALSE,FALSE,170,2,21,8,10,223189,2318040,2016,2/8/2016 21:48,41.804016,-87.681097
10000073,JE278240,9/27/2017 16:33,2869X N MAIN ST,0261,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,FALSE,FALSE,1070,20,44,31,16,224087,2318919,2017,9/27/2017 16:33,41.891954,-87.591268
10000074,JE943718,3/3/2020 16:40,7623X N MAIN ST,1945,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,STREET,FALSE,FALSE,1490,6,5,57,12,222893,2318965,2020,3/3/2020 16:40,41.896576,-87.710694
10000075,JE308894,10/4/2019 23:44,6303X N MAIN ST,1847,PUBLIC PEACE VIOLATION,"MAKE THREATS, PUBLIC PLACE",RESIDENCE,FALSE,FALSE,700,13,37,46,19,222559,2318827,2019,10/4/2019 23:44,41.882757,-87.744097
10000076,JE693419,3/31/2015 21:53,0804X N MAIN ST,1964,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1370,10,50,30,20,224768,2319478,2015,3/31/2015 21:53,41.947896,-87.52318
10000077,JE758765,2/17/2017 19:39,1592X N MAIN ST,1950,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,200,10,29,5,19,222764,2317678,2017,2/17/2017 19:39,41.767886,-87.723583
10000078,JE238579,4/23/2018 20:20,8838X N MAIN ST,1894,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1450,17,18,22,9,223959,2319024,2018,4/23/2018 20:20,41.902456,-87.604079
10000079,JE591081,4/23/2018 22:47,1234X N MAIN ST,0388,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,RESTAURANT,FALSE,FALSE,670,22,47,,26,227554,2319193,2018,4/23/2018 22:47,41.919304,-87.244527
10000080,JE486490,6/5/2019 20:00,4296X N MAIN ST,1297,NARCOTICS,POSS: HEROIN(WHITE),STREET,FALSE,FALSE,1730,12,7,30,16,224690,2319845,2019,6/5/2019 20:00,41.984571,-87.53098
10000081,JE766269,4/18/2021 20:20,7607X N MAIN ST,1962,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,1760,14,8,18,2,224460,2318528,2021,4/18/2021 20:20,41.852878,-87.553903
10000082,JE507524,7/10/2020 12:07,7433X N MAIN ST,0859,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,TRUE,FALSE,2000,23,35,54,19,222846,2318913,2020,7/10/2020 12:07,41.891302,-87.715393
10000083,JE393328,8/27/2019 1:41,0537X N MAIN ST,1513,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,FALSE,FALSE,1230,15,16,47,4,221834,2320632,2019,8/27/2019 1:41,42.063273,-87.816527
10000084,JE228093,3/26/2022 10:22,7451X N MAIN ST,0287,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESIDENCE,FALSE,FALSE,1740,,39,3,2,223782,2318449,2022,3/26/2022 10:22,41.844937,-87.62178
10000085,JE714867,5/30/2016 1:50,3539X N MAIN ST,1765,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,940,25,10,77,1,224790,2318403,2016,5/30/2016 1:50,41.840345,-87.520905
10000086,JE793169,6/16/2016 6:34,0423X N MAIN ST,0369,BATTERY,SIMPLE,RETAIL STORE,FALSE,TRUE,2120,8,38,42,1,223830,2320029,2016,6/16/2016 6:34,42.00293,-87.616945
10000087,JE599380,4/27/2023 8:26,7345X N MAIN ST,1693,THEFT,$500 AND UNDER,STREET,TRUE,FALSE,1610,4,29,65,8,223918,2318196,2023,4/27/2023 8:26,41.819671,-87.608154
10000088,JE580292,10/14/2023 1:58,0511X N MAIN ST,0224,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,STREET,FALSE,FALSE,2260,13,28,14,16,225545,2320692,2023,10/14/2023 1:58,42.069223,-87.445459
10000089,JE388375,11/27/2015 18:20,9591X N MAIN ST,1223,BURGLARY,FORCIBLE ENTRY,RESIDENCE,TRUE,FALSE,1070,20,34,38,15,223888,2317160,2015,11/27/2015 18:20,41.716089,-87.611155
10000090,JE550961,11/23/2023 20:44,7399X N MAIN ST,1918,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,FALSE,FALSE,960,15,26,54,24,222032,2318425,2023,11/23/2023 20:44,41.84254,-87.796713
10000091,JE170394,6/17/2022 3:16,1495X N MAIN ST,1803,THEFT,RETAIL THEFT,RESIDENCE,FALSE,TRUE,1200,4,48,48,26,224567,2319184,2022,6/17/2022 3:16,41.918499,-87.543224
10000092,JE470774,4/19/2021 13:35,6930X N MAIN ST,1877,THEFT,RETAIL THEFT,STREET,FALSE,FALSE,230,10,39,40,12,223384,2318513,2021,4/19/2021 13:35,41.85136,-87.661585
10000093,JE467121,9/25/2016 9:42,9114X N MAIN ST,0852,THEFT,$500 AND UNDER,APARTMENT,TRUE,TRUE,810,19,15,55,18,224106,2320193,2016,9/25/2016 9:42,42.019336,-87.589302
10000094,JE130359,11/18/2021 18:43,2956X N MAIN ST,0659,WEAPONS VIOLATION,UNLAWFUL USE WEAPON,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,890,11,23,1,6,225353,2319082,2021,11/18/2021 18:43,41.908284,-87.464665
10000095,JE196214,6/30/2019 17:04,8692X N MAIN ST,0540,ROBBERY,ARMED: HANDGUN,APARTMENT,FALSE,FALSE,1260,11,11,48,10,223217,2317565,2019,6/30/2019 17:04,41.75655,-87.678223
10000096,JE265056,5/13/2021 11:38,0816X N MAIN ST,1480,BURGLARY,FORCIBLE ENTRY,OTHER,FALSE,TRUE,1230,22,28,63,20,225574,2318591,2021,5/13/2021 11:38,41.859109,-87.442599
10000097,JE397005,6/20/2023 4:32,9718X N MAIN ST,1096,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,FALSE,FALSE,880,2,15,51,20,222677,2316187,2023,6/20/2023 4:32,41.618799,-87.732239
10000098,JE444061,5/15/2017 7:49,1966X N MAIN ST,0115,THEFT,FROM BUILDING,STREET,FALSE,FALSE,1200,6,9,49,18,222401,2317185,2017,5/15/2017 7:49,41.718503,-87.759819
10000099,JE557409,6/29/2022 17:51,0308X N MAIN ST,1041,BURGLARY,FORCIBLE ENTRY,APARTMENT,TRUE,FALSE,2300,11,37,55,19,223832,2318428,2022,6/29/2022 17:51,41.842896,-87.616726
10000100,JE280222,3/31/2018 12:07,7539X N MAIN ST,1803,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,TRUE,FALSE,1020,3,28,14,8,226049,2318827,2018,3/31/2018 12:07,41.882781,-87.395
10000101,JE332335,11/19/2015 21:25,5457X N MAIN ST,1695,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1400,21,8,68,17,224164,2317995,2015,11/19/2015 21:25,41.799579,-87.58359
10000102,JE347745,12/9/2018 2:46,1685X N MAIN ST,0399,THEFT,OVER $500,OTHER,FALSE,FALSE,540,20,10,10,6,223762,2318619,2018,12/9/2018 2:46,41.861903,-87.62371
10000103,JE814220,3/15/2020 17:48,9249X N MAIN ST,1416,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,SIDEWALK,FALSE,FALSE,1690,11,41,41,5,224364,2318871,2020,3/15/2020 17:48,41.887181,-87.563587
10000104,JE469038,1/30/2022 12:19,8313X N MAIN ST,0251,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,TRUE,FALSE,1250,2,4,48,10,225813,2318288,2022,1/30/2022 12:19,41.828889,-87.418668
10000105,JE708519,1/5/2016 16:39,9082X N MAIN ST,1721,THEFT,RETAIL THEFT,ALLEY,FALSE,FALSE,200,15,37,25,11,224290,2318659,2016,1/5/2016 16:39,41.865957,-87.570968
10000106,JE849014,9/11/2015 23:28,1382X N MAIN ST,1133,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,FALSE,FALSE,200,8,46,57,15,223909,2318391,2015,9/11/2015 23:28,41.839185,-87.60904
10000107,JE912085,1/30/2019 11:23,5544X N MAIN ST,1490,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,FALSE,FALSE,2120,21,42,43,3,224551,2318309,2019,1/30/2019 11:23,41.830951,-87.54484
10000108,JE731977,5/3/2019 6:18,2464X N MAIN ST,0782,BATTERY,AGGRAVATED,APARTMENT,FALSE,TRUE,1790,5,23,40,21,225154,2319542,2019,5/3/2019 6:18,41.954261,-87.484545
10000109,JE774751,9/3/2021 21:45,5382X N MAIN ST,1765,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,TRUE,1890,24,44,68,3,224331,2319431,2021,9/3/2021 21:45,41.943129,-87.566837
10000110,JE458332,1/22/2019 10:01,7968X N MAIN ST,0493,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,450,5,5,38,26,222991,2319222,2019,1/22/2019 10:01,41.922239,-87.700813
10000111,JE903531,4/14/2023 20:56,2148X N MAIN ST,1323,THEFT,FROM BUILDING,OTHER,TRUE,FALSE,510,6,45,22,24,223819,2318764,2023,4/14/2023 20:56,41.876428,-87.618067
10000112,JE888939,8/2/2022 12:46,7356X N MAIN ST,0579,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,890,16,13,48,22,224863,2318245,2022,8/2/2022 12:46,41.824564,
10000113,JE269930,3/6/2020 22:49,3272X N MAIN ST,1740,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RETAIL STORE,FALSE,FALSE,2330,9,4,62,12,224800,2318606,2020,3/6/2020 22:49,41.860686,-87.519922
10000114,JE386042,10/14/2020 19:54,7362X N MAIN ST,1954,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,FALSE,FALSE,2220,14,6,29,15,223963,2318454,2020,10/14/2020 19:54,41.845467,-87.603638
10000115,JE504924,8/27/2019 21:03,1338X N MAIN ST,0867,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $300,RESTAURANT,FALSE,FALSE,910,4,46,43,26,223723,2319825,2019,8/27/2019 21:03,41.982538,-87.6277
10000116,JE570392,4/19/2020 11:44,0087X N MAIN ST,1955,THEFT,RETAIL THEFT,STREET,TRUE,TRUE,750,7,10,71,24,224555,2318589,2020,4/19/2020 11:44,41.858962,-87.544403
10000117,JE350021,9/15/2023 0:18,6879X N MAIN ST,1408,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,1270,3,8,64,20,223571,2319040,2023,9/15/2023 0:18,,-87.642814
